date,station name,val
2001-01-01,ROAD 40 - NAHAL ZIN  CROSSING,48.0
2002-01-01,ROAD 40 - NAHAL ZIN  CROSSING,66.0
2003-01-01,ROAD 40 - NAHAL ZIN  CROSSING,78.0
2004-01-01,ROAD 40 - NAHAL ZIN  CROSSING,52.0
2005-01-01,ROAD 40 - NAHAL ZIN  CROSSING,60.0
2006-01-01,ROAD 40 - NAHAL ZIN  CROSSING,122.0
2007-01-01,ROAD 40 - NAHAL ZIN  CROSSING,85.84313725490196
2008-01-01,ROAD 40 - NAHAL ZIN  CROSSING,39.0
2009-01-01,ROAD 40 - NAHAL ZIN  CROSSING,85.84313725490196
2010-01-01,ROAD 40 - NAHAL ZIN  CROSSING,85.84313725490196
2011-01-01,ROAD 40 - NAHAL ZIN  CROSSING,41.0
2012-01-01,ROAD 40 - NAHAL ZIN  CROSSING,78.0
2013-01-01,ROAD 40 - NAHAL ZIN  CROSSING,83.0
2014-01-01,ROAD 40 - NAHAL ZIN  CROSSING,109.0
2015-01-01,ROAD 40 - NAHAL ZIN  CROSSING,139.0
2016-01-01,ROAD 40 - NAHAL ZIN  CROSSING,52.0
2017-01-01,ROAD 40 - NAHAL ZIN  CROSSING,59.5
2018-01-01,ROAD 40 - NAHAL ZIN  CROSSING,81.5
2019-01-01,ROAD 40 - NAHAL ZIN  CROSSING,165.5
2020-01-01,ROAD 40 - NAHAL ZIN  CROSSING,21.5
2021-01-01,ROAD 40 - NAHAL ZIN  CROSSING,60.0
1949-01-01,ORON JUNCTION,
1950-01-01,ORON JUNCTION,
1951-01-01,ORON JUNCTION,
1952-01-01,ORON JUNCTION,75.0
1953-01-01,ORON JUNCTION,89.4
1954-01-01,ORON JUNCTION,72.13636363636364
1955-01-01,ORON JUNCTION,88.0
1956-01-01,ORON JUNCTION,162.0
1957-01-01,ORON JUNCTION,72.13636363636364
1958-01-01,ORON JUNCTION,69.0
1959-01-01,ORON JUNCTION,26.0
